Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
1122	1122|Ulnar hypoplasia-split foot syndrome|<1 / 1 000 000|-|Neonatal|314360
1123	1123|Caudal appendage-deafness syndrome|-|-|-|
1125	1125|Ocular motor apraxia, Cogan type|<1 / 1 000 000|Autosomal recessive|Childhood|257550
1126	1126|Aprosencephaly cerebellar dysgenesis|-|-|-|601374
1129	1129|Arachnodactyly-abnormal ossification-intellectual disability syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
113	113|Bazex-Dupr̩-Christol syndrome|<1 / 1 000 000|X-linked dominant|Infancy<br>Neonatal|301845
1130	1130|Arachnodactyly-intellectual disability-dysmorphism syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
1131	1131|X-linked mandibulofacial dysostosis|<1 / 1 000 000|X-linked recessive|Neonatal|301950
1132	1132|Aortic arch defects|Unknown|Not applicable|Childhood|
1133	1133|AREDYLD syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|207780
1134	1134|Isolated arrhinia|<1 / 1 000 000|Not applicable|Neonatal<br>Antenatal|
1135	1135|Arrhinia-choanal atresia-microphthalmia syndrome|<1 / 1 000 000|Unknown|Neonatal|603457
1136	1136|Arnold-Chiari malformation type II|Unknown|Not applicable|Childhood|207950
1138	1138|Abnormal origin of the pulmonary artery|-|-|-|
114	114|Auriculoosteodysplasia|<1 / 1 000 000|Autosomal dominant|Neonatal|109000
1143	1143|Neurogenic arthrogryposis multiplex congenita|Unknown|Autosomal recessive|-|208100
1144	1144|Arthrogryposis-like hand anomaly-sensorineural deafness syndrome|<1 / 1 000 000|Unknown|Neonatal|108200
1145	1145|Infantile-onset X-linked spinal muscular atrophy|<1 / 1 000 000|X-linked recessive|Neonatal|301830
1146	1146|Digitotalar dysmorphism|1-5 / 10 000|Autosomal dominant|Neonatal|108120 126050 614335
1147	1147|Sheldon-Hall syndrome|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Neonatal|601680
1149	1149|Arthrogryposis-like syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Childhood|208200
115	115|Congenital contractural arachnodactyly|Unknown|Autosomal dominant|Neonatal|121050
1150	1150|Arthrogryposis multiplex congenita-whistling face syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|208155
1154	1154|Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Neonatal|108145
1155	1155|-|-|-|-|253900
1159	1159|Progressive pseudorheumatoid arthropathy of childhood|1-9 / 1 000 000|Autosomal recessive|Childhood|208230
116	116|Beckwith-Wiedemann syndrome|1-5 / 10 000|Unknown<br>or&nbsp;Autosomal dominant|Neonatal<br>Antenatal|130650
1160	1160|Chylous ascites|-|-|-|208300
1163	1163|Aspergillosis|Unknown|Not applicable|All ages|614079
1164	1164|Allergic bronchopulmonary aspergillosis|Unknown|Not applicable|Childhood|103920
1166	1166|Congenital unilateral hypoplasia of depressor anguli oris|Unknown|Autosomal dominant|Neonatal|125520
1167	1167|Facial asymmetry-temporal seizures syndrome|-|-|-|
1168	1168|Ataxia-oculomotor apraxia type 1|Unknown|Autosomal recessive|Childhood|208920
117	117|Beh̤et disease|1-9 / 100 000|Multigenic/multifactorial|Adult<br>Adolescent<br>Childhood|109650
1170	1170|Autosomal recessive cerebelloparenchymal disorder type 3|Unknown|Autosomal recessive|Neonatal|213200
1171	1171|Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Mitochondrial inheritance|Infancy<br>Neonatal|601338
1172	1172|Autosomal recessive cerebellar ataxia|1-9 / 100 000|Autosomal recessive|All ages|
1173	1173|Cerebellar ataxia-hypogonadism syndrome|Unknown|Autosomal recessive|All ages|212840 605672
1174	1174|Cerebellar ataxia-ectodermal dysplasia syndrome|Unknown|Autosomal recessive|Neonatal|212835
1175	1175|X-linked progressive cerebellar ataxia|Unknown|X-linked recessive|Childhood|302500
117569	117569|Rare intestinal disease|-|-|-|
117573	117573|Syndromic anorectal malformation|-|-|-|
1177	1177|Early-onset cerebellar ataxia with retained tendon reflexes|1-9 / 100 000|Autosomal recessive|Childhood<br>Adolescent<br>Adult|212895
1178	1178|Ataxia-tapetoretinal degeneration syndrome|-|Unknown|-|272600
1179	1179|Benign paroxysmal tonic upgaze of childhood with ataxia|-|-|-|168885
118	118|Beta-mannosidosis|Unknown|Autosomal recessive|Infancy<br>Neonatal<br>Childhood<br>Adolescent<br>Adult|248510
1180	1180|Ataxia-hypogonadism-choroidal dystrophy syndrome|Unknown|Autosomal recessive|Childhood|215470
1182	1182|Spastic ataxia with congenital miosis|<1 / 1 000 000|-|Neonatal<br>Infancy<br>Childhood<br>Adolescent|108650
1183	1183|Opsoclonus-myoclonus syndrome|Unknown|Not applicable|Infancy<br>Childhood|
1184	1184|Ataxia-photosensitivity-short stature syndrome|<1 / 1 000 000|Unknown|Infancy<br>Childhood|
1185	1185|Spinocerebellar ataxia-dysmorphism syndrome|-|Autosomal recessive|-|271270
1186	1186|Infantile onset spinocerebellar ataxia|<1 / 1 000 000|Autosomal recessive|Infancy|271245
1187	1187|Lethal ataxia with deafness and optic atrophy|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|301835
1188	1188|Ataxia-deafness-intellectual disability syndrome|<1 / 1 000 000|X-linked recessive|Childhood|208850
119	119|Autosomal recessive limb-girdle muscular dystrophy type 2E|<1 / 1 000 000|Autosomal recessive|Childhood<br>Adolescent|604286
1190	1190|Atelosteogenesis type I|<1 / 1 000 000|Autosomal dominant|Neonatal<br>Antenatal|108720
1192	1192|Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|209010
1193	1193|Atkin-Flaitz syndrome|<1 / 1 000 000|X-linked dominant|Neonatal|300431
1194	1194|TMEM70-related mitochondrial encephalo-cardio-myopathy|Unknown|Autosomal recessive|Infancy<br>Neonatal|614052
1195	1195|Congenital atransferrinemia|<1 / 1 000 000|Autosomal recessive|Infancy<br>Childhood|209300
1198	1198|Colonic atresia|-|-|-|303650
1199	1199|Esophageal atresia|1-5 / 10 000|Not applicable|Neonatal|189960
1200	1200|Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|608572 616462
1201	1201|Atresia of small intestine|1-5 / 10 000|Autosomal recessive<br>or&nbsp;Multigenic/multifactorial<br>or&nbsp;Not applicable|Neonatal|243600
1202	1202|Larynx atresia|Unknown|Autosomal dominant|All ages|150300
1203	1203|Duodenal atresia|1-9 / 100 000|Autosomal recessive|Antenatal<br>Neonatal<br>Infancy<br>Childhood|223400
1205	1205|Mitral atresia|-|-|-|
1207	1207|Pulmonary atresia with ventricular septal defect|-|-|-|178370
1208	1208|Pulmonary atresia-intact ventricular septum syndrome|-|-|-|265150
1209	1209|Tricuspid atresia|1-9 / 100 000|Not applicable|Neonatal<br>Antenatal|605067
1214	1214|Progressive hemifacial atrophy|Unknown|Not applicable|Childhood<br>Adolescent<br>Adult|141300
1215	1215|Autosomal dominant optic atrophy plus syndrome|1-9 / 1 000 000|Autosomal dominant|Childhood|125250 165199
1216	1216|Autosomal dominant congenital benign spinal muscular atrophy|-|-|Antenatal<br>Neonatal|600175
1217	1217|Spinal atrophy-ophthalmoplegia-pyramidal syndrome|-|-|-|
122	122|Birt-Hogg-Dub̩ syndrome|1-9 / 1 000 000|Autosomal dominant|Adult|135150
1221	1221|Cheilitis glandularis|Unknown|Not applicable|Adult|118330
1223	1223|Balantidiasis|Unknown|Not applicable|All ages|
1225	1225|Baller-Gerold syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|218600
1226	1226|Bamforth-Lazarus syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|241850
1227	1227|Bangstad syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|210740
1228	1228|Banki syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|109300
1229	1229|Congenital intrauterine infection-like syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|251290
123	123|Bj̦rnstad syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|262000
1231	1231|Barber-Say syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|Neonatal|209885
1234	1234|Bartsocas-Papas syndrome|<1 / 1 000 000|Autosomal recessive|Antenatal<br>Neonatal|263650
1236	1236|Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome|-|No data available|-|
1237	1237|Beemer-Ertbruggen syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|209970
1239	1239|-|Unknown|Autosomal recessive|Infancy|210000
124	124|Blackfan-Diamond anemia|Unknown|Autosomal dominant|Infancy<br>Neonatal<br>Childhood|105650 300946 606129 606164 610629 612527 612528 612561 612562 612563 613308 613309 614900 615550 615909
1240	1240|Metaphyseal acroscyphodysplasia|<1 / 1 000 000|Autosomal recessive|Neonatal|250215
1241	1241|Bencze syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|141350
1243	1243|Best vitelliform macular dystrophy|1-9 / 100 000|Autosomal dominant|Childhood<br>Adolescent|153700
1246	1246|Brachydactyly-nystagmus-cerebellar ataxia syndrome|<1 / 1 000 000|-|-|113400
1247	1247|Schistosomiasis|<1 / 1 000 000|Not applicable|All ages|181460
1248	1248|Maxillonasal dysplasia|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Multigenic/multifactorial|Neonatal|155050
1249	1249|-|Unknown|Unknown|Adult|
125	125|Bloom syndrome|Unknown|Autosomal recessive|Neonatal<br>Antenatal|210900
1252	1252|Blepharonasofacial malformation syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;X-linked dominant|Childhood|110050
1253	1253|Ascher syndrome|<1 / 1 000 000|Not applicable|Neonatal|109900
1256	1256|Jorgenson-Lenz syndrome|<1 / 1 000 000|-|Antenatal<br>Neonatal|
1258	1258|Rodini-Richieri Costa syndrome|-|-|-|
1259	1259|Blepharoptosis-myopia-ectopia lentis syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|110150
126	126|Blepharophimosis-epicanthus inversus-ptosis syndrome|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|Neonatal|110100
1260	1260|Sino-auricular heart block|-|-|-|
1261	1261|Bonnemann-Meinecke-Reich syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|225755
1262	1262|B̦̦k syndrome|<1 / 1 000 000|Autosomal dominant|Adult|112300
1263	1263|Boomerang dysplasia|<1 / 1 000 000|Not applicable|Neonatal<br>Antenatal|112310
1264	1264|Tricho-retino-dento-digital syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|191482
1266	1266|Dermato-cardio-skeletal syndrome, Borrone type|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|211170
1267	1267|Botulism|<1 / 1 000 000|-|All ages|
127	127|Borjeson-Forssman-Lehmann syndrome|<1 / 1 000 000|X-linked recessive|Neonatal|301900
1270	1270|Bowen-Conradi syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|211180
1272	1272|Aym̩-Gripp syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|601353
1275	1275|Brachydactyly-elbow wrist dysplasia syndrome|-|Autosomal dominant|-|186550
1276	1276|Brachydactyly-arterial hypertension syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|112410
1277	1277|Brachydactyly-mesomelia-intellectual disability-heart defects syndrome|-|-|-|
1278	1278|Brachydactyly-preaxial hallux varus syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|112450
128	128|Diphyllobothriasis|<1 / 1 000 000|Not applicable|All ages|
129	129|Pseudopelade of Brocq|Unknown|Not applicable|Adult|
1292	1292|Brachymorphism-onychodysplasia-dysphalangism syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|113477
1293	1293|Brachyolmia|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|
1295	1295|Brachytelephalangy-dysmorphism-Kallmann syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|113480
1296	1296|Lambert syndrome|<1 / 1 000 000|-|Neonatal|245550
1297	1297|Branchio-oculo-facial syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;No data available|Neonatal|113620
1299	1299|Branchioskeletogenital syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked dominant|Neonatal|211380
13	13|6-pyruvoyl-tetrahydropterin synthase deficiency|Unknown|Autosomal recessive|Infancy<br>Neonatal|261640
130	130|Brugada syndrome|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Not applicable|Adult|601144 611777 611875 611876 612838 613119 613120 613123 616399
1300	1300|Autosomal dominant popliteal pterygium syndrome|1-9 / 1 000 000|Autosomal dominant|Neonatal|119500
1302	1302|Cryptogenic organizing pneumonia|Unknown|Not applicable|Adolescent<br>Adult<br>Elderly|
1303	1303|Bronchiolitis obliterans with obstructive pulmonary disease|Unknown|Not applicable|All ages|
1304	1304|Brucellosis|-|-|All ages|
1305	1305|Feingold syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|164280 614326
1306	1306|Buschke-Ollendorff syndrome|-|Autosomal dominant|All ages|166700
1307	1307|Distal limb deficiencies-micrognathia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|246560
1308	1308|C syndrome|1-9 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Neonatal<br>Antenatal|211750
1309	1309|Medullary sponge kidney|-|-|-|
131	131|Budd-Chiari syndrome|1-9 / 100 000|Multigenic/multifactorial|All ages|600880
1310	1310|Caffey disease|Unknown|Autosomal dominant<br>or&nbsp;Unknown|Infancy<br>Neonatal<br>Antenatal<br>Childhood|114000
1313	1313|Infantile choroidocerebral calcification syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|215480
1314	1314|Symmetrical thalamic calcifications|<1 / 1 000 000|Not applicable|Neonatal|
1318	1318|Campomelia, Cumming type|<1 / 1 000 000|Autosomal recessive|Neonatal|211890
1319	1319|Camptobrachydactyly|<1 / 1 000 000|Autosomal dominant|Neonatal|114150
132	132|Butyrylcholinesterase deficiency|1-9 / 100 000|-|Infancy<br>Neonatal|
1320	1320|Idiopathic camptocormia|Unknown|Not applicable|Elderly<br>Adult|
1321	1321|Camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|211930
1323	1323|Camptodactyly-joint contractures-facial skeletal defects syndrome|<1 / 1 000 000|-|Neonatal|602612
1325	1325|Camptodactyly-taurinuria syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|
1326	1326|Camptodactyly syndrome, Guadalajara type 2|<1 / 1 000 000|Autosomal recessive|Neonatal|211920
1327	1327|Camptodactyly syndrome, Guadalajara type 1|<1 / 1 000 000|Autosomal recessive|Neonatal|211910
1328	1328|Camurati-Engelmann disease|Unknown|Autosomal dominant|All ages|131300
1329	1329|Complete atrioventricular canal|Unknown|Not applicable|Infancy<br>Neonatal|
133	133|Chronic beryllium disease|Unknown|Not applicable|Adult|
1330	1330|Partial atrioventricular canal|1-5 / 10 000|Not applicable|All ages<br>Antenatal|
1331	1331|Familial prostate cancer|-|-|Adult|176807 300147 300704 601518 602759 603688 608656 608658 609299 609558 610321 610997 611100 611868 611928 611955 611958 611959 614731
1332	1332|Medullary thyroid carcinoma|1-9 / 100 000|Not applicable|Adult|
1333	1333|Familial pancreatic carcinoma|1-9 / 1 000 000|Multigenic/multifactorial|Adult|260350 606856 613347 613348 614320
1334	1334|Chronic mucocutaneous candidiasis|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Childhood|114580 247650 252250 607644 613108 613953 613956 615527 616445
1335	1335|Pentalogy of Cantrell|<1 / 1 000 000|Not applicable|Neonatal<br>Antenatal|313850
1336	1336|Hyperkeratosis-hyperpigmentation syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Childhood<br>Adolescent|144190
1338	1338|Heart defect-tongue hamartoma-polysyndactyly syndrome|<1 / 1 000 000|-|Neonatal|217085
134	134|Beta-ketothiolase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy|203750
1340	1340|Cardiofaciocutaneous syndrome|Unknown|Autosomal dominant|Antenatal<br>Neonatal|115150 615278 615279 615280
1342	1342|Heart-hand syndrome type 3|<1 / 1 000 000|-|Neonatal<br>Infancy|140450
1344	1344|Atrial standstill|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Adult|108770 615745
1345	1345|Cardiomyopathy-cataract-hip spine disease syndrome|<1 / 1 000 000|Autosomal recessive|Adolescent<br>Adult|
1349	1349|Maternally-inherited cardiomyopathy and hearing loss|<1 / 1 000 000|Mitochondrial inheritance|Childhood<br>Adult|
135	135|CACH syndrome|Unknown|Autosomal recessive|Childhood|603896 615889
1350	1350|Heart-hand syndrome type 2|<1 / 1 000 000|-|-|
1352	1352|Atrioventricular defect-blepharophimosis-radial and anal defect syndrome|-|-|-|600123
1354	1354|Heart defects-limb shortening syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|212135
1355	1355|Congenital heart defect-round face-developmental delay syndrome|-|-|-|270460
1358	1358|Carey-Fineman-Ziter  syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|254940
1359	1359|Carney complex|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|160980 605244
136	136|CADASIL|1-9 / 100 000|Autosomal dominant|Adult|125310
1361	1361|Carnosinemia|Unknown|Autosomal recessive|Infancy|212200
1366	1366|Autosomal recessive palmoplantar keratoderma and congenital alopecia|<1 / 1 000 000|Autosomal recessive|Neonatal|212360
1368	1368|Cataract-ataxia-deafness syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|212710
1369	1369|Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|212350 615418
137	137|Congenital disorder of glycosylation|Unknown|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|
1373	1373|Cataract-aberrant oral frenula-growth delay syndrome|-|-|-|115645
1375	1375|Cataract-hypertrichosis-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|211770
137577	137577|Neonatal hypoxic and ischemic brain injury|1-9 / 100 000|Not applicable|Infancy<br>Neonatal|
137583	137583|Vulvar intraepithelial neoplasia|-|-|-|
137586	137586|Herpes simplex virus keratitis|Unknown|Not applicable|All ages|
137593	137593|Infectious epithelial keratitis|-|-|-|
137596	137596|Neurotrophic keratopathy|Unknown|-|Childhood<br>Adult|
137599	137599|Stromal keratitis|1-5 / 10 000|-|-|
1376	1376|-|-|-|-|212400
137602	137602|Endotheliitis|-|-|-|
137605	137605|Legius syndrome|Unknown|Autosomal dominant|Infancy<br>Neonatal<br>Childhood|611431
137608	137608|Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome|-|-|-|
